title,originallink,link,description,pubDate,corp_name,E,S,G,value
"삼성·LG·현대차, 국제 디자인상 IDEA 2021 ‘싹쓸이’",http://news.kmib.co.kr/article/view.asp?arcid=0924210199&code=11151400&cp=nv,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=005&aid=0001472172,"현대차와 제네시스 브랜드는 금상 1개를 포함해 총 3개의 상을 수상했다. 현대차 전기차 ‘아이오닉 5’가 자동차·운송 부문에서 최고의 상인 금상을 받았으며, ‘현대 블루링크 앱’과 ‘카퍼 디자인 테마가...","Thu, 23 Sep 2021 04:10:00 +0900",현대차,0,0,0,0
셀트리온 '펜타곤 잭팟' 7000억원 코로나 진단키트 공급,http://news.mk.co.kr/newsRead.php?no=910303&year=2021,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004855515,규모 셀트리온이 체외진단 전문기업 휴마시스와 함께 개발한 코로나19 항원 신속진단키트가 미국 군시설 등 2만5000여 개 조달처에 공급된다. 공급 규모는 최대 7382억원에 달할 전망이다. 23일 셀트리온은 미국...,"Thu, 23 Sep 2021 17:44:00 +0900",셀트리온,0,0,0,0
7382억 '셀트리온 매직'…진단키트로 '바이 아메리칸' 뚫었다,http://news.mt.co.kr/mtview.php?no=2021092309100417801,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004647767,셀트리온이 미국 국방부와 최대 7382억원 규모의 코로나19(COVID-19) 항원 신속진단키트 공급 계약을 맺었다.... 셀트리온은 체외진단 전문기업 휴마시스와 공동개발한 코로나19 항원 신속진단키트 '디아트러스트...,"Thu, 23 Sep 2021 09:22:00 +0900",셀트리온,0,0,0,0
"셀트리온, 최대 7382억원 코로나19 진단키트 美에 공급",https://www.hankyung.com/finance/article/202109239488i,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=015&aid=0004607301,셀트리온은 휴마시스와 개발한 코로나19 항원 신속진단키트 디아트러스트(Celltrion DiaTrust COVID-19 Ag Rapid Test)를 최대 7382억원 규모로 미국에 공급한다고 23일 밝혔다. 셀트리온의 미국 자회사 셀트리온USA는 미국...,"Thu, 23 Sep 2021 09:42:00 +0900",셀트리온,0,0,0,0
"금호타이어, 기아 EV6 신차용 타이어 공급기념 최대 40% 할인",http://www.newsis.com/view/?id=NISX20210924_0001592122&cID=13001&pID=13000,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010734763,금호타이어가 기아 EV6 신차용(OE) 타이어 공급을 기념해 24일부터 다음달 3일까지 주요 제품 할인과 사은품 증정 프로모션을 진행한다. 금호타이어는 올시즌 크루젠 HP71과 엑스타 PS71를 기아 ‘더 기아 EV6(이하 EV6)...,"Fri, 24 Sep 2021 11:34:00 +0900",기아,0,0,0,0
"금호타이어, 기아 EV6 신차용 타이어 공급 기념 프로모션",https://www.news1.kr/articles/?4442096,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005618388,금호타이어는 기아 EV6 신차용(OE) 타이어 공급을 기념해 24일부터 내달 3일까지 주요 제품 할인과 사은품 증정 프로모션을 진행한다고 밝혔다. 올시즌(All-season) 크루젠 HP71과 엑스타 PS71를 기아 EV6에 공급하는 것을...,"Fri, 24 Sep 2021 08:54:00 +0900",기아,0,0,0,0
"담원 기아-T1 결승전, 350만 명이 지켜보며 LCK 단일 경기 시청 기록 경신",https://www.gamechosun.co.kr/webzine/article/view.php?no=178168,https://www.gamechosun.co.kr/webzine/article/view.php?no=178168,"◆ 담원 기아-T1 결승전, 역대 최고 기록 지난 8월 28일 담원 기아와 T1의 맞대결로 진행된 2021 LCK 서머 결승전의 최고동시시청자수(PCU, Peak Concurrent User)는 무려 350만 여명, 평균 동시시청자수(ACU, Average Concurrent...","Fri, 24 Sep 2021 11:06:00 +0900",기아,0,0,0,0
"현대모비스, 인천·울산에 1.3조 들여 '수소연료전지 공장' 신설",https://www.hankyung.com/economy/article/2021092279951,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004607042,현대모비스는 대규모 투자로 수소연료전지 공장을 신설하는 등 수소 시장 선점에 박차를 가하고 있다. 현대모비스는 1조3216억원을 들여 인천과 울산에 수소연료전지 공장을 짓겠다고 지난달 20일 공시했다....,"Wed, 22 Sep 2021 16:19:00 +0900",현대모비스,1,0,0,1
"삼성물산 SSF샵 '세사패 캠페인' 진행…""온라인 강화 잰걸음""",https://www.news1.kr/articles/?4440947,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=421&aid=0005616186,삼성물산 패션부문의 패션·라이프스타일 전문몰 SSF샵은 온라인·모바일 플랫폼으로 브랜딩을 강화하고 온라인 시장에서의 경쟁우위를 확보하기 위해 '세사패 캠페인'을 진행한다고 23일 밝혔다. 세사패는 '세상이...,"Thu, 23 Sep 2021 09:01:00 +0900",삼성물산,0,0,0,0
"삼성물산, 집코노미 박람회에 브랜드 '래미안 리뉴얼' 소개",https://www.hankyung.com/realestate/article/202109230440i,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004607609,삼성물산 건설부문이 10월 1~2일 서울 삼성동 코엑스에서 열리는 '집코노미 박람회 2021'에 새롭게 리뉴얼한 래미안 브랜드를 선보인다. 올해 7회를 맞은 이번 박람회에서는 공공기관과 삼성물산 등 민간업체 70곳이...,"Thu, 23 Sep 2021 17:46:00 +0900",삼성물산,0,0,0,0
"삼성물산 패션 SSF샵, '세사패 캠페인'…""온라인 강화""",https://www.dailian.co.kr/news/view/1035122/?sc=Naver,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002532058,삼성물산 패션부문의 패션·라이프스타일 전문몰 SSF샵은 패션 업계 대표 온라인·모바일 플랫폼으로 브랜딩을 강화하고 온라인 시장의 성장과 함께 경쟁우위를 확보하는 차원에서 본격적인 ‘세사패 캠페인’을...,"Thu, 23 Sep 2021 09:43:00 +0900",삼성물산,0,0,0,0
LG전자 디오스 김치톡톡 오브제컬렉션 신제품 출시,http://www.newsis.com/view/?id=NISI20210924_0017979429,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010734430,LG전자가 용량을 키우고 편의성도 강화한 '디오스 김치톡톡 오브제컬렉션' 신제품을 추가로 내놓는다고 24일 밝혔다. 모델들이 LG 디오스 김치톡톡 오브제컬렉션을 소개하고 있다. (사진=LG전자 제공) 2021.09.24....,"Fri, 24 Sep 2021 10:00:00 +0900",LG전자,0,0,0,0
"LG전자, 용량 491ℓ 김치톡톡 오브제컬레션 출시",https://biz.chosun.com/it-science/ict/2021/09/24/RFPZ7JJXENHMNHAWP4EQPLJWFU/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=366&aid=0000762393,LG전자는 24일 용량을 491ℓ로 확대한 디오스 김치톡톡 오브제컬렉션 신제품을 출시했다고 밝혔다. LG전자에 따르면 신제품은 오브제컬렉션 김치냉장고 중 용량이 가장 크다. 또 4도어 타입도 새로 적용했다. 위·중간...,"Fri, 24 Sep 2021 10:02:00 +0900",LG전자,0,0,0,0
"또 1300억 '베팅'…LG전자, 승부수 던졌다",https://www.hankyung.com/economy/article/2021092313591,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004607595,LG전자가 자동차 사이버보안 분야의 강자로 꼽히는 이스라엘 기업 사이벨럼을 인수했다. ZKW와 LG마그나이파워트레인에 이어 사이벨럼 경영권까지 확보하면서 글로벌 전장기업으로서 입지를 굳히고 있다는 평가가...,"Thu, 23 Sep 2021 17:29:00 +0900",LG전자,0,0,0,0
"SK이노베이션, 그린사업 글로벌 인재 영입 착수",https://biz.chosun.com/industry/company/2021/09/23/ZWZHNE3KI5G2HBNSISZ7CQOC5M/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000762236,김준 SK이노베이션(096770) 총괄사장과 경영진이 해외 인재 영입을 위해 미국 출장에 나선다. SK이노베이션은 다음 달 2일 미국 샌프란시스코에서 인재 영입을 위한 글로벌 포럼을 개최한다고 23일 밝혔다....,"Thu, 23 Sep 2021 13:27:00 +0900",SK이노베이션,1,1,0,1
"김준 SK이노베이션 총괄사장, 인재 찾아 직접 미국行… 그린 사업 핵심인재 확...",https://www.donga.com/news/article/all/20210923/109368359/1,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003383235,"SK이노베이션은 다음 달 2일 미국 샌프란시스코에서 글로벌 포럼을 열고 대대적인 인재 영입에 나선다고 23일 밝혔다. 포럼에는 배터리와 차세대 배터리, 환경, 친환경 소재 등 SK이노베이션이 집중 육성 중인 분야...","Thu, 23 Sep 2021 18:11:00 +0900",SK이노베이션,1,1,0,1
"김준 SK이노베이션 총괄사장, 핵심인재 확보 위해 미국行",https://www.news1.kr/articles/?4441030,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=421&aid=0005616245,"SK이노베이션은 다음달 2일 미국 샌프란시스코에서 ‘글로벌 포럼’을 열고 대대적인 인재 영입에 나선다고 23일 밝혔다. SK이노베이션은 이번 포럼에서 배터리와 차세대 배터리, 환경, 친환경 소재 등 회사가 집중적으로...","Thu, 23 Sep 2021 09:21:00 +0900",SK이노베이션,1,1,0,1
ㅇ,https://www.ceoscoredaily.com/page/view/2021091513355152141,https://www.ceoscoredaily.com/page/view/2021091513355152141,LG생활건강(대표 차석용)이 올해 상반기 신종 코로나바이러스 감염증(코로나19)이 지속되는 상황에서도 높은 영업이익을 기록하며 500대 기업 중 이자보상배율 순위 13위를 차지했다. 22일 기업평가사이트...,"Wed, 22 Sep 2021 07:02:00 +0900",LG생활건강,0,0,1,1
[이지경제 기획] 동반성장 누가누가 잘 하나?⑤…LG생활건강,http://www.ezyeconomy.com/news/articleView.html?idxno=113039,http://www.ezyeconomy.com/news/articleView.html?idxno=113039,"LG생활건강이 지난해 '동반성장지수'에서 최우수 등급을 획득하면서, 업계 최초로 7년 연속 최우수를 차지했다. 서울 중구 새문안로 LG생건 사옥. 사진=김성미 기자 #, 韓, 대중소기업 동반성장, 이명박 전 대통령은 2010년...","Thu, 23 Sep 2021 05:06:00 +0900",LG생활건강,0,1,0,1
"SK텔레콤 ‘T팩토리ㆍT다이렉트샵’, IDEA 어워드 수상",https://www.etoday.co.kr/news/view/2063834,https://www.etoday.co.kr/news/view/2063834,이투데이=조남호 기자 | (사진제공=SK텔레콤) SKT가 세계 유명 어워드에서 수상하며 디자인 경쟁력을 입증했다. SK텔레콤은 자사의 ICT 복합 문화 체험 공간인 ‘T팩토리’와 공식 온라인숍 ‘T다이렉트샵’ 등 2개...,"Thu, 23 Sep 2021 11:16:00 +0900",SK텔레콤,0,0,0,0
"KB금융, '스타트업 육성' KB스타터스 16개사 선정",http://www.newsis.com/view/?id=NISX20210924_0001592024&cID=10401&pID=10400,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010734604,"기사내용 요약매년 상·하반기로 나눠 선발, 지원 와들·에너지엑스·스파이스웨어 등 KB금융그룹은 올해 하반기 정시 모집으로 KB스타터스 16개사를 최종 선정했다고 24일 밝혔다. KB스타터스는 KB금융이 지난 2015년부터...","Fri, 24 Sep 2021 10:56:00 +0900",KB금융,0,1,0,1
"KB금융, 차세대 유니콘 스타트업 지원…KB계열사와 협업",https://daily.hankooki.com/lpage/finance/202109/dh20210924093125148320.htm?s_ref=nv,https://daily.hankooki.com/lpage/finance/202109/dh20210924093125148320.htm?s_ref=nv,KB금융그룹은 ‘KB스타터스’ 2021년 하반기 정시 모집을 통해 우수한 평가를 받은 다양한 분야의 혁신 스타트업 16개사를 최종 선정했다고 24일 밝혔다. KB스타터스는 KB금융그룹에서 2015년부터 선발해 육성해온 혁신...,"Fri, 24 Sep 2021 09:36:00 +0900",KB금융,0,1,0,1
"KB금융그룹, 혁신 스타트업 16개사 'KB스타터스' 선발",http://www.joseilbo.com/news/news_read.php?uid=433868&class=51&grp=,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=123&aid=0002255438,"KB금융그룹은 ‘KB스타터스’ 2021년 하반기 정시 모집을 통해 다양한 분야의 혁신 스타트업 16개사를 최종 선정했다고 24일 밝혔다. KB스타터스는 KB금융그룹에서 2015년부터 선발하여 육성해온 혁신 스타트업으로, 매년...","Fri, 24 Sep 2021 11:49:00 +0900",KB금융,0,1,0,1
[업앤다운]은행주 하락...신한지주↑ 카카오뱅크↓,http://www.nspna.com/news/?mode=view&newsid=527894,http://www.nspna.com/news/?mode=view&newsid=527894,코스피 종목 중 가장 높은 상승률을 보인 종목은 신한지주다. 신한지주는 전거래일대비 +0.65%(250원) 상승해 3만8950원에 장을 마쳤다. 우리금융지주는 전거래일대비 +0.45%(50원) 올라 1만1100원에 장을...,"Thu, 23 Sep 2021 16:06:00 +0900",신한지주,0,0,0,0
[투달봇 24일 7:00] 미국증시로 본 개장 전 인사이트 #S-Oil #대성홀딩스 #신...,http://www.kukinews.com/newsView/kuk202109240005,http://www.kukinews.com/newsView/kuk202109240005,#S-Oil #대성홀딩스 #신한지주 #우리금융지주 #상상인 #한양증권 #이베스트투자증권,"Fri, 24 Sep 2021 07:02:00 +0900",신한지주,0,0,0,0
"금융지주 빅2 KB-신한금융, 유럽 신재생에너지 개발 사업에 '맞손'",https://economist.co.kr/2021/09/16/finance/bank/20210916151300210.html,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=243&aid=0000016334,KB금융지주와 신한금융지주가 유럽 신재생에너지 개발 사업에 투자하는 '글로벌 그린에너지 파트너십 펀드'에 총 800억원 규모로 공동 출자했다고 16일 밝혔다. '글로벌 그린에너지 파트너십 펀드'는 지난 4월...,"Thu, 16 Sep 2021 15:13:00 +0900",신한지주,1,0,0,1
"[단독]SK최기원 이사장, 킨앤파트너스에 돈 빌려줬다 원금도 회수못해",https://www.chosun.com/economy/industry-company/2021/09/24/GKLOT5J3K5CE3H5YZD7CZ2F42M/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=023&aid=0003642151,연 10% 고정 이자받는 계약으로 400억원 빌려줬는데 다른 투자실패로 원금 이자 회수 못한 것으로 알려져 킨앤파트너스에 거액의 투자금을 빌려줘 주목을 받아온 개인투자자가 최태원 SK그룹 회장의 여동생인 최기원...,"Fri, 24 Sep 2021 12:15:00 +0900",SK,0,0,1,2
"""배터리 인재 구해요""…미국으로 날아간 SK이노 임원들(종합)",http://www.newsis.com/view/?id=NISX20210923_0001591384&cID=13001&pID=13000,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010733824,"기사내용 요약김준 SK이노 총괄사장, 배터리·친환경 인재 확보 위해 미국行 '석유화학'에서 '친환경'으로 사업 구조 재편을 추진 중인 SK이노베이션이 미국 현지에서 대규모 채용행사를 열고 해외 인재 영입에 나선다....","Thu, 23 Sep 2021 20:05:00 +0900",SK,1,1,0,1
"[증시이슈] SK바사, ‘노바백스 백신 WHO 긴급사용 등재 신청’에 급등",https://economist.co.kr/2021/09/24/bioHealth/bio/20210924100517316.html,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=243&aid=0000016500,해당 백신의 위탁생산(CMO) 계약을 맺은 SK바이오사이언스 주가가 상승세다. 24일 오전 9시 50분 기준 SK바이오사이언스는 전일 대비 2만2000원(8.49%) 오른 28만1000원에 거래 중이다. 노바백스가 전날 WHO 긴급사용...,"Fri, 24 Sep 2021 10:06:00 +0900",SK,0,0,0,0
"영업익 6조 넘보는 HMM, 초대형선 '만선'행렬로 새 기록 써",https://economist.co.kr/2021/09/23/industry/normal/20210923114443446.html,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=243&aid=0000016466,3분기 실적 순항이 예상되는 HMM이 운송량에서도 새 기록을 썼다. HMM은 세계 최대컨테이너선 2만4000TEU급 선박 12척의 누적 운송량이 헤드홀 기준 총 100만TEU를 넘어섰다고 22일 밝혔다. 헤드홀은 아시아에서...,"Thu, 23 Sep 2021 11:45:00 +0900",HMM,0,0,0,0
"HMM, 아시아-유럽 누적운송량 100만 TEU 돌파",https://www.donga.com/news/article/all/20210922/109353787/1,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003383139,HMM(옛 현대상선)이 2만4000TEU급(1TEU는 20피트짜리 컨테이너 1개) 세계 최대 컨테이너선 12척으로 실어 나른 물량이 100만 TEU를 넘어섰다. 12일 HMM은 2만4000TEU급 컨테이너 5호선 ‘HMM 그단스크호’가 3일...,"Thu, 23 Sep 2021 03:04:00 +0900",HMM,0,0,0,0
"HMM, 2만4000TEU급 12척 누적 운송량 100만TEU 달성",http://www.segye.com/content/html/2021/09/22/20210922504219.html?OutUrl=naver,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=022&aid=0003621730,컨테이너 나열 시 서울에서 부산까지 왕복 10회 해당 HMM이 세계 최대컨테이너선 2만4000TEU급 선박... 지난 3일 부산신항에서 국내 수출물량 등 화물 2803TEU를 싣고 떠난 2만4000TEU급 컨테이너 5호선 ‘HMM...,"Thu, 23 Sep 2021 01:02:00 +0900",HMM,0,0,0,0
"키움증권 ""한국전력, 8년 만에 전기요금 인상 주목""",http://www.newsis.com/view/?id=NISX20210924_0001591746&cID=10401&pID=10400,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010734218,"키움증권은 한국전력(015760)에 대해 8년 만의 전기요금 인상에 주목했다. 목표주가와 투자의견은 제시하지 않았다. 이종형 키움증권 연구원은 24일 ""인상폭은 올해 상반기 평균 요금은 104.9원/kWH 대비 2.9%로 지난...","Fri, 24 Sep 2021 09:03:00 +0900",한국전력,0,0,0,0
"한국전력, 8년만의 전기료 인상에 ‘상승세’",http://www.edaily.co.kr/news/newspath.asp?newsid=01600646629183072,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005042789,한국전력(015760)이 10월 1일부터 적용되는 4분기 전기요금을 전격 인상했다는 소식에 장 초반 상승세다. 전기료 인상은 2013년 11월 이후 약 8년 만이다. 그동안 시장은 동결된 전기료는 한국전력 주가의 발목을 잡고...,"Thu, 23 Sep 2021 09:08:00 +0900",한국전력,0,0,0,0
"한국전력, 최초의 이란 출신 외인 사닷과 결별…다우디 대체선수로 영입",https://www.news1.kr/articles/?4442268,https://sports.news.naver.com/news.nhn?oid=421&aid=0005618674,한국전력은 사닷의 대체 선수로 지난 시즌 현대캐피탈에서 뛰었던 다우디 오켈로(26·우간다)를 영입했다. 24일 한전 관계자에 따르면 사닷은 지난주 훈련을 하다 복근 부상을 당했다. 이후 복수의 병원에서 정밀 검사를...,"Fri, 24 Sep 2021 10:25:00 +0900",한국전력,0,0,0,0
LG 새 김냉 '디오스 김치톡톡 오브제컬렉션' 출시,http://www.newsis.com/view/?id=NISX20210924_0001591763&cID=13001&pID=13000,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010734428,"것"" LG전자가 김장철을 앞두고 용량을 키우고 편의성도 강화한 '디오스 김치톡톡 오브제컬렉션' 신제품을... 특히 위쪽 칸에는 왼쪽과 오른쪽 공간의 온도를 각각 원하는 대로 설정 가능한, LG만의 차별화된 기술인...","Fri, 24 Sep 2021 10:00:00 +0900",LG,0,0,0,0
LG엔솔 일냈다…'상온 고속충전 가능' 전고체 배터리 개발,https://www.hankyung.com/economy/article/202109242559g,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004607882,"LG화학의 자회사 LG에너지솔루션이 차세대 배터리(이차 전지)로 각광받는 전고체 배터리 분야에서 혁신 기술 개발에 성공, 상용화에 한걸음 더 다가가게 됐다. LG에너지솔루션은 미국 샌디에이고대(UCSD)와의 공동연구를...","Fri, 24 Sep 2021 11:48:00 +0900",LG,0,0,0,0
"리튬보다 밀도 40% 높은 전고체배터리···LG엔솔 ""난제 풀었다""",https://www.joongang.co.kr/article/25009324,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=025&aid=0003137141,글로벌 전기차 업계에서 차세대 전고체 배터리 개발 경쟁이 한창인 가운데 LG에너지솔루션이 상온에서... 하지만 LG에너지솔루션은 이번 기술 개발로 전고체 배터리의 개발은 물론 상용화 경쟁에서도 앞서갈 수 있는...,"Fri, 24 Sep 2021 10:31:00 +0900",LG,0,0,0,0
"라이프시맨틱스·삼성생명, 건강관리서비스 개발한다",https://www.hankyung.com/it/article/2021091615661,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=015&aid=0004605927,"라이프시맨틱스가 삼성생명과 건강관리 서비스 개발 프로젝트에 대한 계약을 체결했다고 16일 밝혔다. 계약 규모는 16억4500만원이다. 이번 계약으로 라이프시맨틱스는 앱을 통해 운동, 식이, 마음 건강을 비대면으로...","Thu, 16 Sep 2021 17:21:00 +0900",삼성생명,0,0,0,0
대형 보험사도 대출 조인다…삼성생명 규제 참여,http://www.newsis.com/view/?id=NISX20210910_0001579173&cID=15001&pID=15000,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010714568,"금융당국의 가계대출 조이기가 전방위적으로 확대된 가운데, 삼성생명이 가계대출 총량 관리에 나섰다. 은행권의 대출 규제에 따라 제2금융권으로 대출 수요가 몰리는 '풍선효과'를 차단하기 위한 결정이다. 11일...","Sat, 11 Sep 2021 06:00:00 +0900",삼성생명,0,0,0,0
